title,genres,bpm,length,gain,key
I'll Never Smile Again,jazz,122.3,148,-18.8,
Dear God,alternative-rock,181.0,227,-10.4,
It's All In The Game,pop,105.5,160,-15.2,
Hanky Panky,classic-rock,125.0,173,-12.4,
Good Lovin',blues,105.0,143,,
Say I Am (What I Am),classic-rock,128.0,151,-12.1,
It's Only Love,classic-rock,139.2,127,-14.0,
I Think We're Alone Now,classic-rock,129.6,130,-12.8,
Gettin' Together,classic-rock,139.7,138,-11.2,
Mirage,classic-rock,128.8,165,-12.7,
Mony Mony,hard-rock,129.0,174,-14.2,
Crimson And Clover,classic-rock,169.0,332,-14.0,
Do Something To Me,classic-rock,122.0,149,-8.0,
Crystal Blue Persuasion,soul,99.9,241,-12.7,
Sweet Cherry Wine,classic-rock,106.8,260,-10.1,
Ball Of Fire,classic-rock,153.0,187,-14.5,
She,classic-rock,168.0,121,-13.7,
Gotta Get Back To You,classic-rock,148.0,185,-13.7,
I Follow Rivers,pop,110.0,214,-10.7,
Pitbull:Go Girl,"['Feminism', 'Crunk', 'Electronic music', 'Hip house']",114.8,230,-9.3,
Draggin' The Line,classic-rock,115.0,166,-13.7,
Tommy James And The Shondells:I Think We're Alone Now,classic-rock,129.6,130,-12.8,
Tommy James And The Shondells:Mirage,classic-rock,128.8,165,-12.7,
Tommy James And The Shondells:Sweet Cherry Wine,classic-rock,106.8,260,-10.1,
Tommy James And The Shondells:Hanky Panky,classic-rock,125.3,177,-13.3,
Tommy James And The Shondells:It's Only Love,classic-rock,139.2,127,-14.0,
Tommy James And The Shondells:Gettin' Together,classic-rock,139.7,138,-11.2,
Tommy James And The Shondells:Mony Mony,hard-rock,129.0,174,-14.2,
Tommy James And The Shondells:Do Something To Me,classic-rock,120.0,151,-14.2,
Tommy James And The Shondells:Crimson And Clover,classic-rock,171.0,209,-12.7,
Tommy James And The Shondells:Crystal Blue Persuasion,soul,99.9,241,-12.7,
Tommy James And The Shondells:Ball Of Fire,classic-rock,153.0,187,-14.5,
Tommy James And The Shondells:She,classic-rock,168.0,121,-13.7,
Tommy James And The Shondells:Gotta Get Back To You,classic-rock,148.0,185,-13.7,
I'll Be Your Everything,pop,144.0,247,-10.7,Fmaj
Sheila,classic-rock,130.8,127,-13.6,Emin
Dizzy,pop,101.6,172,-10.8,Emin
Hi-Heel Sneakers,blues,168.0,169,-13.2,
867-5309/Jenny,classic-rock,137.0,224,-11.1,Emin
The Doxology,unknown,95.7,50,-26.1,
All Gold Everything,hip-hop,99.9,279,-11.4,
Leaving On A Jet Plane,['Folk music'],140.0,191,-13.1,Emaj
Spanish Harlem (Aquella Rosa),soul,114.0,186,-14.6,Dmaj
They're Playing Our Song,unknown,123.0,335,-10.4,Bbmaj
Da Da Da Ich Lieb Dich Nicht Du Liebst Mich Nicht Aha Aha Aha,['Neue Deutsche Welle'],132.0,392,-18.3,
Da Da Da I Don't Love You You Don't Love Me Aha Aha Aha,['Neue Deutsche Welle'],131.0,199,-17.3,
Anna,classic-rock,147.0,210,-11.3,
Rauch-Haus-Song,unknown,129.604,219,-12.3,
Wild Thing,classic-rock,125.0,263,-15.5,
Funky Cold Medina,classic-rock,117.0,248,-18.5,
Mickey,pop,148.2,254,-14.9,
You're Makin Me High,unknown,92.0,268,-12.9,
Un-Break My Heart,unknown,110.0,271,-13.1,
How Could An Angel Break My Heart,unknown,82.0,260,-14.7,
Let It Flow,unknown,168.0,262,-11.6,
You're Makin' Me High,unknown,92.0,268,-12.9,
If You Could Only See,alternative-rock,190.0,261,-8.8,
You Wanted More,unknown,181.3,233,-8.0,
She's In Love With The Boy,country,124.0,245,-9.5,Ebmaj
Wrong Side Of Memphis,country,141.0,167,-11.2,Dmaj
Walkaway Joe,country,114.0,260,-13.7,Cmaj
The Song Remembers When,country,159.0,234,-11.4,Fmaj
Sweet Little Jesus Boy,unknown,113.0,162,-17.7,Bbmaj
Away In A Manger,unknown,150.0,157,-15.6,Cmaj
"Let It Snow, Let It Snow, Let It Snow",unknown,137.0,146,,Dmin
The Christmas Song (Chestnuts Roasting On An Open Fire),jazz,127.0,238,,Amin
Believe Me Baby (I Lied),country,120.0,222,-10.0,Bmin
Everybody Knows,country,98.0,194,-10.2,E
Silent Night,unknown,72.0,249,-9.3,Gmaj
How Do I Live,country,126.0,242,-11.0,Dmaj
There Goes My Baby,country,108.0,230,-8.9,Cmaj
Powerful Thing,country,148.0,176,-8.9,Bmin
Sad Eyes,classic-rock,113.9,251,-12.8,Dbmaj
Seven Year Ache,country,122.0,215,-10.8,Cmaj
Georgia Rain,country,99.0,311,-9.5,Bbmaj
Pull Harder On The Strings Of Your Martyr,metal,145.0,291,-6.9,Dmaj
A Gunshot To The Head Of Trepidation,metal,145.0,355,-7.4,Dmin
Like Light To The Flies,metal,106.0,340,-7.4,Bbmaj
Dying In Your Arms,metal,160.0,173,-7.1,Amin
Entrance Of The Conflagration,metal,99.0,275,-6.7,Emin
In Waves,unknown,153.1,302,-7.3,Amaj
Built To Fall,metal,144.0,188,-6.9,Dbmin
Slave New World,metal,96.0,178,-7.4,Dmaj
Amami Se Vuoi,unknown,87.8,209,-10.8,
A Fine Fine Day,classic-rock,112.961,265,-13.4,Fmin
I Did What I Did For Maria,unknown,123.0,220,-10.9,Gmaj
(Is This The Way To) Amarillo,pop,134.0,190,-8.7,Amaj
It Had To Be You,pop,99.1457,178,-16.8,
Taking A Chance On Love,unknown,152.56,130,-14.8,
These Foolish Things (Remind Me Of You),blues,131.25,208,-10.7,
I'll Be Seeing You,unknown,143.0,176,,
Lost In The Stars,unknown,99.1457,205,-14.8,
Without A Song,unknown,119.837,168,-17.0,
Lullaby Of Broadway,unknown,180.5,144,-16.9,
Let There Be Love,unknown,173.7,123,-16.4,
Love For Sale,unknown,131.2,188,-16.7,
Blues In The Night,unknown,99.6235,170,-18.5,
Let's Face The Music And Dance,jazz,91.4685,167,-16.8,
Just One Of Those Things,unknown,149.8,123,-18.9,
You Go To My Head,jazz,115.485,160,-18.1,
I Only Have Eyes For You,soft-rock,105.738,133,-16.8,
Begin The Beguine,jazz,118.463,261,-18.8,
Every Time We Say Goodbye,unknown,78.0,189,-11.8,
The Way You Look Tonight,pop,95.7,184,-10.1,
My Foolish Heart,unknown,87.0,183,,
Time After Time,jazz,156.6,171,-9.8,
Blue Moon,unknown,138.0,131,-23.2,
So Far,unknown,93.75,219,-16.3,
Just In Time,pop,154.0,114,-17.5,
Ol' Man River,unknown,155.0,319,-16.3,
Till,unknown,84.2032,176,-11.4,
Tenderly,unknown,129.199,216,-15.1,
"Bewitched, Bothered And Bewildered",unknown,74.0,154,,
My Funny Valentine,unknown,118.125,157,-19.0,
Man That Got Away,unknown,95.0,233,-18.5,
Sleepin' Bee,unknown,85.0,203,,
Street Of Dreams,jazz,91.0,133,,
I Left My Heart In San Francisco,pop,129.2,171,-15.5,
Once Upon A Time,unknown,152.6,178,-15.5,
Candy Kisses,country,125.0,143,-11.4,
The Best Is Yet To Come,jazz,120.888,152,-19.3,
Climb Ev'ry Mountain,unknown,93.1166,141,-10.4,
How About You/April In Paris,jazz,129.0,158,-19.1,
Blue Velvet,pop,131.0,272,-14.1,
Rags To Riches,unknown,135.0,72,-20.3,
Sing You Sinners,unknown,105.0,121,-18.1,
Speak Low,unknown,135.0,121,-21.4,
Chicago (That Toddling Town),unknown,118.8,124,-10.8,
Pennies From Heaven,unknown,142.0,136,-18.0,
Smile,unknown,116.0,83,-17.9,
I Wanna Be Around,unknown,103.0,131,-16.5,
This Is All I Ask,unknown,112.0,193,-15.3,
Young And Foolish,unknown,85.0,202,-19.6,
Ain't Misbehavin',jazz,87.0,161,-15.4,
Who Can I Turn To (When Nobody Needs Me),unknown,102.1,175,-14.5,
Between The Devil And The Deep Blue Sea,unknown,87.8,197,-16.9,
Waltz For Debby,jazz,142.6,219,-17.9,
Fly Me To The Moon (In Other Words),pop,94.2,240,-13.1,
How Insensitive,['Bossa nova'],109.0,263,-16.5,
If I Ruled The World,unknown,124.0,180,-12.1,
Sweet Lorraine,unknown,149.0,218,-17.2,
Girl Talk,unknown,108.0,191,-13.9,
The Shadow Of Your Smile,unknown,112.0,217,-16.9,
Days Of Wine And Roses,['Easy listening'],100.0,176,-18.5,
The Trolley Song,unknown,137.0,154,-13.3,
The Very Thought Of You,unknown,81.0,270,,
In The Wee Small Hours,pop,103.0,203,-16.5,
Yesterdays,jazz,107.0,195,-14.1,
On The Sunny Side Of The Street,unknown,120.0,140,-12.2,
I Let A Song Go Out Of My Heart,unknown,119.0,118,,
Old Devil Moon,jazz,113.0,182,,
Out Of This World,unknown,102.0,188,,
Love Is Here To Stay,unknown,163.4,163,-14.0,
There Will Never Be Another You,unknown,91.1,114,-10.5,
My Favorite Things,unknown,139.0,197,-13.1,
Santa Claus Is Coming To Town,unknown,132.0,172,-10.8,
