title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
The Way You Look Tonight;Traditional pop music;95.7;184;-10.1;0;05-02-2015;;;;;;;;;2015
Blow The Whistle;Hip hop music;100;171;;0;28-01-2011;;;;;;;;;2011
Good King Wenceslas;;138;333;;0;09-11-2009;;;;;;;;;2009
Time To Say Goodbye (Con Te Partir�);Operatic pop;132;193;;0;03-06-2014;;;;;;;;Gmaj;2014
In The Jailhouse Now;Country music;84;107;;0;05-11-2009;;;;;;;;Emaj;2009
The Wild Rover;Pop music;92;252;;9163;24-03-2006;Folk music;Music of Ireland;;;;;;;2006
My Foolish Heart;;87;183;;62476;16-11-2012;;;;;;;;;2012
So Far;;93.75;219;-16.3;62476;16-11-2012;;;;;;;;;2012
These Foolish Things (Remind Me Of You);Twelve-bar blues;131.25;208;-10.7;65256;27-05-2011;Traditional pop music;Rhythm and blues;;;;;;;2011
Old Devil Moon;Jazz;113;182;;65899;16-11-2012;;;;;;;;;2012
Tenderly;;129.199;216;-15.1;71150;24-05-2011;;;;;;;;;2011
Stargazer;Heavy metal music;92;379;;71812;27-05-2011;Power metal;Symphonic rock;Progressive rock;;;;;;2011
Time After Time;Jazz;156.6;171;-9.8;96713;05-02-2015;;;;;;;;;2015
The Night The Lights Went Out In Georgia;Country music;86;220;;97694;20-11-2001;Country pop;;;;;;;Ebmin;2001
Sad Eyes;Rock music;113.9;251;-12.8;105382;14-07-2009;Pop music;;;;;;;Dbmaj;2009
Absolutely Everybody (Latino Mix);House music;123;208;-12;109471;02-02-2014;Dance-pop;;;;;;;Emin;2014
I Let A Song Go Out Of My Heart;;119;118;;109858;16-11-2012;;;;;;;;;2012
David Guetta:Without You;;128;225;-16.2;114170;04-11-2011;;;;;;;;;2011
My Favorite Things;;105;193;;114170;23-02-2010;;;;;;;;;2010
(Where Do I Begin) Love Story;;140;193;-12.9;117334;16-11-2012;;;;;;;;;2012
Attention;;149.8;174;-7.9;119026;28-04-2014;;;;;;;;;2014
On Green Dolphin Street;;114;240;;121745;16-11-2012;;;;;;;;;2012
I Melt With You;Post-punk;146;240;-7.8;125854;01-03-2015;New wave music;;;;;;;;2015
Jesus Jones:Right Here Right Now;Alternative rock;110;202;;125994;01-07-2010;Alternative dance;;;;;;;;2010
Yesterdays;Jazz;107;195;-14.1;130736;16-11-2012;;;;;;;;;2012
In The Wee Small Hours;Traditional pop music;103;203;-16.5;132360;16-11-2012;;;;;;;;;2012
Lost In The Stars;;91;242;-16.1;133344;23-11-2010;;;;;;;;;2010
Seether;Grunge;105;196;;135162;06-12-2011;Alternative rock;Post-grunge;;;;;;Bbmaj;2011
Wobble (Skit);Hip hop music;142;25;-16.9;135188;25-08-2008;Pop-rap;;;;;;;;2008
Without A Song;;143;183;-18.6;135297;14-10-1997;;;;;;;;;1997
Willow Weep For Me;;157;180;-20.2;135499;04-02-1997;;;;;;;;;1997
I Wished On The Moon;Jazz;117;166;-18.9;135499;04-02-1997;;;;;;;;;1997
Ill Wind;;113;184;-18.2;135499;04-02-1997;;;;;;;;;1997
Good Morning Heartache;Twelve-bar blues;120;157;-19.5;135499;04-02-1997;;;;;;;;;1997
She's Gone;Soul music;156;297;-12.7;142689;01-01-2003;Jazz;Blue-eyed soul;Soft rock;;;;;;2003
What A Little Moonlight Can Do;Jazz;98;165;-17.5;142998;04-02-1997;;;;;;;;;1997
Can I Change My Mind;Soul music;101.3;174;-12.8;149647;20-04-2015;;;;;;;;;2015
What Would Your Memories Do;Country music;86.1;169;-16.6;149677;02-01-1984;;;;;;;;;1984
Control;;140;432;-10.9;149702;28-02-1995;;;;;;;;Fmaj;1995
